Asset_1,Asset_2,P_Value,Hedge_Ratio
A17U.SI,S68.SI,0.00118,0.0707
G13.SI,T6I.SI,0.00121,0.0622
BN2.SI,M1GU.SI,0.00128,1.9929
1E3.SI,CHZ.SI,0.00128,2.5338
CRPU.SI,F99.SI,0.0013,0.2903
BQD.SI,F99.SI,0.00132,0.2567
CHZ.SI,M1GU.SI,0.00137,0.6764
S07.SI,VC2.SI,0.0014,2.9303
53W.SI,U14.SI,0.0014,0.024
53W.SI,L19.SI,0.00141,0.3532
G13.SI,U06.SI,0.00141,0.0246
G13.SI,H13.SI,0.00142,0.0816
N2IU.SI,P40U.SI,0.00147,2.7276
G13.SI,S20.SI,0.00147,0.1126
1D0.SI,D01.SI,0.00154,0.0493
42L.SI,Q01.SI,0.00161,0.4908
G13.SI,UD1U.SI,0.00163,0.6724
E3B.SI,O10.SI,0.00167,1.2928
G13.SI,M44U.SI,0.00168,0.2058
53W.SI,C09.SI,0.00178,0.0281
BEC.SI,S68.SI,0.0018,0.3289
40T.SI,Y92.SI,0.00188,0.7451
BN2.SI,P40U.SI,0.00189,2.2596
G13.SI,P40U.SI,0.00189,0.3397
BQD.SI,OXMU.SI,0.0019,0.984
G13.SI,KUO.SI,0.00192,1.2381
G13.SI,S08.SI,0.00198,-0.264
G13.SI,KJ5.SI,0.00199,0.3983
5JS.SI,CHZ.SI,0.00201,0.7492
BEC.SI,C38U.SI,0.00201,3.4321
BQD.SI,V03.SI,0.00202,0.0155
A17U.SI,P52.SI,0.00205,0.5536
G13.SI,P52.SI,0.00208,0.0561
G13.SI,H22.SI,0.0021,0.0204
L19.SI,U14.SI,0.00212,0.0667
G13.SI,I07.SI,0.00213,0.3998
G13.SI,J36.SI,0.00213,0.0013
S08.SI,V03.SI,0.00213,-0.0184
G13.SI,S68.SI,0.00215,0.0071
BQD.SI,BUOU.SI,0.00217,0.3472
1D0.SI,J36.SI,0.00221,0.0031
G13.SI,M1GU.SI,0.00222,0.2852
A17U.SI,BKA.SI,0.0023,1.3692
53W.SI,5WJ.SI,0.00232,0.2357
E3B.SI,U06.SI,0.00242,0.2628
G13.SI,QC7.SI,0.00246,0.146
BN2.SI,H02.SI,0.0025,0.0488
G13.SI,S58.SI,0.00258,0.0515
BN4.SI,L19.SI,0.00259,14.3695
A17U.SI,MXNU.SI,0.0026,4.0416
1E3.SI,P40U.SI,0.00261,2.0758
G13.SI,H02.SI,0.00264,0.0065
5JS.SI,H02.SI,0.00267,0.0129
BN2.SI,T6I.SI,0.0027,0.4224
53W.SI,O39.SI,0.00272,0.0234
G13.SI,OV8.SI,0.00279,0.0364
40T.SI,S63.SI,0.00279,-0.0113
BUOU.SI,T82U.SI,0.00281,0.5391
53W.SI,544.SI,0.00298,0.1637
53W.SI,F17.SI,0.003,0.1052
BN2.SI,CHZ.SI,0.003,2.749
CRPU.SI,JYEU.SI,0.00307,0.4745
BN2.SI,O10.SI,0.00307,0.819
42C.SI,Q0F.SI,0.0031,0.196
S20.SI,S56.SI,0.0031,1.0354
AJBU.SI,BKA.SI,0.00317,0.8668
BQD.SI,T82U.SI,0.00319,0.2115
53W.SI,H78.SI,0.00319,0.0309
G13.SI,M14.SI,0.00322,0.1062
G13.SI,L19.SI,0.00332,0.1211
5JS.SI,T6I.SI,0.00333,0.1161
G13.SI,U14.SI,0.00344,0.0088
H02.SI,M1GU.SI,0.00349,39.6135
CHZ.SI,P8Z.SI,0.00352,0.1287
L19.SI,S56.SI,0.00362,0.8171
S07.SI,Z25.SI,0.0037,2.2131
BQD.SI,OV8.SI,0.00385,0.0678
53W.SI,S56.SI,0.00398,0.3055
H22.SI,U06.SI,0.00398,1.1447
2318.HK,L19.SI,0.004,73.8294
53W.SI,NR7.SI,0.00405,1.0164
2318.HK,NPW.SI,0.00407,78.0016
G13.SI,S69.SI,0.0041,0.8549
53W.SI,BN4.SI,0.00413,0.0223
BQD.SI,JYEU.SI,0.00418,0.4287
53W.SI,5UF.SI,0.00418,0.7006
2318.HK,544.SI,0.0042,35.8162
C07.SI,M14.SI,0.00425,21.995
BKA.SI,S41.SI,0.00425,0.7566
G13.SI,NPW.SI,0.00425,0.1192
G13.SI,H78.SI,0.00447,0.011
40T.SI,J69U.SI,0.00484,-0.1476
5JS.SI,NS8U.SI,0.00491,0.9632
S68.SI,T6I.SI,0.00491,7.7493
53W.SI,9CI.SI,0.00495,0.191
H02.SI,T6I.SI,0.00498,8.5051
E3B.SI,NS8U.SI,0.00501,5.5728
C6L.SI,S63.SI,0.00503,0.1289
NR7.SI,O39.SI,0.00523,0.0216
G13.SI,Z74.SI,0.00529,0.0231
OXMU.SI,Z25.SI,0.00535,0.2383
D05.SI,M1GU.SI,0.00544,110.3197
AJBU.SI,G13.SI,0.00547,2.7915
BQD.SI,G92.SI,0.00558,0.0839
J36.SI,T6I.SI,0.00562,47.5837
CHZ.SI,D05.SI,0.00572,0.0059
BUOU.SI,CHZ.SI,0.00577,1.7711
5LY.SI,M14.SI,0.00585,0.2413
A04.SI,S08.SI,0.00586,-1.8685
5JS.SI,ER0.SI,0.00588,0.3747
2318.HK,U14.SI,0.00598,5.0579
A04.SI,BUOU.SI,0.00599,1.1361
CRPU.SI,G13.SI,0.00599,0.921
5E2.SI,HQU.SI,0.00602,0.4378
AWX.SI,F99.SI,0.00607,2.0623
MXNU.SI,S68.SI,0.00609,0.0165
QC7.SI,S20.SI,0.0061,0.6091
53W.SI,H02.SI,0.00613,0.0182
G13.SI,P15.SI,0.00613,0.1658
C52.SI,F03.SI,0.00622,0.0713
BQD.SI,D05.SI,0.00625,0.0044
53W.SI,5TP.SI,0.00626,0.0985
53W.SI,J36.SI,0.00629,0.0031
F99.SI,OXMU.SI,0.00638,3.4538
53W.SI,G92.SI,0.0064,0.1144
G13.SI,NR7.SI,0.00644,0.3312
C38U.SI,H02.SI,0.00655,0.0862
NS8U.SI,U06.SI,0.00662,0.0436
CHZ.SI,T6I.SI,0.00662,0.1435
1D0.SI,D05.SI,0.00664,0.0062
G13.SI,Q0F.SI,0.00668,0.0482
G13.SI,J69U.SI,0.00675,0.1039
G13.SI,Q01.SI,0.00682,0.2516
S07.SI,V03.SI,0.007,0.0824
BN2.SI,E3B.SI,0.00701,0.6098
BKA.SI,P52.SI,0.00707,0.382
53W.SI,C38U.SI,0.00708,0.2003
S07.SI,T82U.SI,0.00737,0.7762
S41.SI,S63.SI,0.00749,0.0727
G13.SI,S07.SI,0.00751,0.0433
H13.SI,NS8U.SI,0.00751,6.5275
G13.SI,HQU.SI,0.00757,0.052
BQD.SI,CHZ.SI,0.0076,0.6787
M1GU.SI,S68.SI,0.00771,0.0253
M14.SI,Q0F.SI,0.00771,0.4786
BN2.SI,N2IU.SI,0.00772,0.8057
C52.SI,S68.SI,0.00773,0.0225
5JS.SI,S68.SI,0.00775,0.0137
D05.SI,G92.SI,0.00782,17.85
558.SI,S41.SI,0.00785,1.351
CRPU.SI,OYY.SI,0.00789,0.0489
MXNU.SI,NS8U.SI,0.008,1.1447
G13.SI,S56.SI,0.00801,0.1167
S20.SI,U06.SI,0.00805,0.2135
40T.SI,A17U.SI,0.00827,-0.1064
5UF.SI,F17.SI,0.00828,0.1437
53W.SI,D05.SI,0.00828,0.0064
53W.SI,M1GU.SI,0.00833,0.7069
53W.SI,T6I.SI,0.00834,0.1527
L19.SI,NPW.SI,0.00839,1.0149
G13.SI,MXNU.SI,0.00844,0.4061
BQD.SI,P8Z.SI,0.00847,0.0966
G13.SI,S41.SI,0.00849,0.1052
53W.SI,Q0F.SI,0.0086,0.1273
A04.SI,T82U.SI,0.0087,0.6839
BUOU.SI,NPW.SI,0.00871,0.6083
53W.SI,H22.SI,0.00884,0.0515
CRPU.SI,Z25.SI,0.00895,0.268
53W.SI,BQM.SI,0.00896,0.2976
BQD.SI,H13.SI,0.00899,0.1218
53W.SI,BUOU.SI,0.00903,0.4637
S68.SI,U06.SI,0.00921,3.0227
53W.SI,5LY.SI,0.00925,0.9747
BQD.SI,S20.SI,0.0093,0.1756
F03.SI,P15.SI,0.00935,8.6855
544.SI,L19.SI,0.00937,1.9847
53W.SI,V03.SI,0.00942,0.0198
S07.SI,U11.SI,0.00946,0.0924
CRPU.SI,O10.SI,0.00946,0.2208
QC7.SI,S68.SI,0.00947,0.0469
53W.SI,EB5.SI,0.00947,0.1294
C52.SI,P15.SI,0.00952,0.601
E3B.SI,H22.SI,0.00971,0.2219
P52.SI,S68.SI,0.00994,0.1222
53W.SI,A7RU.SI,0.01017,0.8484
S08.SI,S69.SI,0.01022,-2.0886
1D0.SI,2318.HK,0.01036,0.0041
1E3.SI,CRPU.SI,0.01058,2.8374
2318.HK,D01.SI,0.01059,11.1411
MXNU.SI,P52.SI,0.01068,0.1317
S07.SI,Y92.SI,0.01074,6.6208
BN2.SI,S68.SI,0.01078,0.0522
BN2.SI,MXNU.SI,0.01084,2.9925
NPW.SI,U14.SI,0.01094,0.0611
C09.SI,G92.SI,0.01094,4.2419
5JS.SI,BQD.SI,0.01096,0.7649
BQD.SI,CRPU.SI,0.01097,0.7824
53W.SI,D01.SI,0.01101,0.0485
BQD.SI,N2IU.SI,0.01106,0.2013
E5H.SI,O10.SI,0.01106,0.1295
53W.SI,KUO.SI,0.01107,2.5159
O10.SI,S20.SI,0.01121,0.8167
H78.SI,Q01.SI,0.01154,22.2359
2318.HK,S56.SI,0.01157,65.4165
C6L.SI,OU8.SI,0.01173,0.7896
BKA.SI,KJ5.SI,0.01177,2.6578
H13.SI,S20.SI,0.01183,1.3982
BQD.SI,BS6.SI,0.01187,0.0504
BQD.SI,M14.SI,0.01192,0.1811
BQM.SI,S20.SI,0.01227,0.8135
ME8U.SI,S07.SI,0.01229,0.1814
T6I.SI,U06.SI,0.01231,0.3804
C52.SI,P52.SI,0.01234,0.1776
BKA.SI,S68.SI,0.01237,0.0475
AWX.SI,V03.SI,0.01243,0.1197
O10.SI,P52.SI,0.01247,0.4844
Q0F.SI,S08.SI,0.01249,-5.7325
53W.SI,S41.SI,0.01252,0.2925
A17U.SI,QC7.SI,0.01253,1.4079
5JS.SI,E5H.SI,0.0126,1.3408
O10.SI,S68.SI,0.01263,0.0601
5JS.SI,CRPU.SI,0.01266,0.8479
53W.SI,S63.SI,0.01282,0.0232
8AZ.SI,CRPU.SI,0.01291,1.2806
M44U.SI,S08.SI,0.01294,-1.4215
BQD.SI,C09.SI,0.01294,0.0188
BUOU.SI,S69.SI,0.01306,4.0232
1801.HK,BKA.SI,0.01307,215.9623
MXNU.SI,QC7.SI,0.0132,0.3385
O10.SI,P40U.SI,0.01326,2.6252
J36.SI,NPW.SI,0.01334,106.7029
40T.SI,Z74.SI,0.01365,-0.0296
AWX.SI,BS6.SI,0.01375,0.4112
F99.SI,JYEU.SI,0.01383,1.5411
C38U.SI,T6I.SI,0.01383,0.745
BQD.SI,EB5.SI,0.01393,0.0939
T82U.SI,V03.SI,0.01402,0.0697
S07.SI,UD1U.SI,0.0141,4.6694
BQD.SI,D01.SI,0.01432,0.0345
40T.SI,C2PU.SI,0.01445,-0.0867
40T.SI,S41.SI,0.01468,-0.1244
G13.SI,O39.SI,0.01497,0.0084
P15.SI,S68.SI,0.01506,0.0355
BN2.SI,H22.SI,0.01508,0.1367
CHZ.SI,J36.SI,0.01515,0.0029
